Message ID, Sender,Recipient,Store,Time Stamp,Message Contents
PO1]UDYKaFOMF],Qyril@gmail.com,avadakedavera@gmail.com,Bob's Pineapple Emporium,03:24:13.509389300,Qyril@gmail.com: They're taking the hobbits to isengard
1Y5L4\H8P=]>:S,Qyril@gmail.com,avadakedavera@gmail.com,Bob's Pineapple Emporium,03:28:25.172950800,Is this always real time?
[Q6Y=U`08AK[F9,Qyril@gmail.com,avadakedavera@gmail.com,Bob's Pineapple Emporium,16:23:46.556979600,Hello there
<8R^9PVA[Q>;2[,Qyril@gmail.com,avadakedavera@gmail.com,Bob's Pineapple Emporium,16:31:23.289944,bum badabum badabum
]:6Z\HWU^BOIYJ,Qyril@gmail.com,avadakedavera@gmail.com,Bob's Pineapple Emporium,17:37:43.241923300,I'll tell you a secret, it is
318ZWHC;W9TJAG,Qyril@gmail.com,avadakedavera@gmail.com,Bob's Pineapple Emporium,01:45:07.108848500,I am sending a message
GaS5I2Z;;^6I?Q,Qyril@gmail.com,avadakedavera@gmail.com,Bob's Pineapple Emporium,02:30:02.886309700,Did you ever hear the tragedy of Darth Plagueis the Wise?
IZ[X^<5<W2>?9H,Qyril@gmail.com,avadakedavera@gmail.com,Bob's Pineapple Emporium,03:48:25.458827600,Hello from the other side
N93C1S]=9<L0\],Qyril@gmail.com,avadakedavera@gmail.com,Bob's Pineapple Emporium,17:58:12.630355700,I am sending you a message
]L]LBHFT?5^9NE,Qyril@gmail.com,avadakedavera@gmail.com,Bob's Pineapple Emporium,17:58:33.663359700,Another message
