Message ID, Sender,Recipient,Store,Time Stamp,Message Contents
1,palpatine@senate.gov,anakin@jedi.org,Totally not a Sith inc.,2022-12-04T02:42:05.991937700,Did you ever hear the tragedy of Darth Plagueis the Wise?
2,anakin@jedi.org,palpatine@senate.gov,Totally not a Sith inc.,2022-12-04T02:43:54.249378100,No.
3,palpatine@senate.gov,anakin@jedi.org,Totally not a Sith inc.,2022-12-04T04:01:20.506264500,I thought not. It's not a story the Jedi would tell you. It's a Sith legend. Darth Plagueis... was a Dark Lord of the Sith so powerful and so wise, he could use the Force to influence the midi-chlorians... to create... life. He had such a knowledge of the dark side, he could even keep the ones he cared about... from dying.
4,anakin@jedi.org,palpatine@senate.gov,Totally not a Sith inc.,2022-12-04T04:02:34.295870200,He could actually... save people from death?
5,palpatine@senate.gov,anakin@jedi.org,Totally not a Sith inc.,2022-12-04T04:02:50.977881400,The dark side of the Force is a pathway to many abilities... some consider to be unnatural.
6,anakin@jedi.org,palpatine@senate.gov,Totally not a Sith inc.,2022-12-04T04:03:12.007911900,Wh– What happened to him?
7,palpatine@senate.gov,anakin@jedi.org,Totally not a Sith inc.,2022-12-04T04:03:28.486889200,He became so powerful, the only thing he was afraid of was... losing his power. Which eventually, of course, he did. Unfortunately, he taught his apprentice everything he knew. Then his apprentice killed him in his sleep. It's ironic. He could save others from death, but not himself.
8,anakin@jedi.org,palpatine@senate.gov,Totally not a Sith inc.,2022-12-04T04:04:03.570782200,Is it possible to learn this power?
9,palpatine@senate.gov,anakin@jedi.org,Totally not a Sith inc.,2022-12-04T04:04:21.659651500,Not from a Jedi.
10,obi-wan@jedi.org,anakin@jedi.org,The Republic,2022-12-06T19:31:07.135666900,It's over, Anakin. I have the high ground!
11,anakin@jedi.org,obi-wan@jedi.org,The Republic,2022-12-06T19:36:14.750467,You underestimate my power
